 cookie=0x0, duration=17.985s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=18988 actions=output:2
 cookie=0x0, duration=17.985s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=6839 actions=output:2
 cookie=0x0, duration=17.985s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=1031 actions=output:2
 cookie=0x0, duration=17.985s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=3493 actions=output:2
 cookie=0x0, duration=18.019s, table=0, n_packets=0, n_bytes=0, idle_age=18, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=49159 actions=output:2
 cookie=0x0, duration=18.019s, table=0, n_packets=0, n_bytes=0, idle_age=18, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=6792 actions=output:2
 cookie=0x0, duration=18.019s, table=0, n_packets=0, n_bytes=0, idle_age=18, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=1149 actions=output:2
 cookie=0x0, duration=18.020s, table=0, n_packets=0, n_bytes=0, idle_age=18, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=27356 actions=output:2
 cookie=0x0, duration=18.020s, table=0, n_packets=0, n_bytes=0, idle_age=18, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=6510 actions=output:2
 cookie=0x0, duration=18.020s, table=0, n_packets=0, n_bytes=0, idle_age=18, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=3784 actions=output:2
 cookie=0x0, duration=18.020s, table=0, n_packets=0, n_bytes=0, idle_age=18, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=1145 actions=output:2
 cookie=0x0, duration=18.020s, table=0, n_packets=0, n_bytes=0, idle_age=18, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=808 actions=output:2
 cookie=0x0, duration=18.072s, table=0, n_packets=0, n_bytes=0, idle_age=18, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=1077 actions=output:2
 cookie=0x0, duration=18.072s, table=0, n_packets=0, n_bytes=0, idle_age=18, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=2399 actions=output:2
 cookie=0x0, duration=18.072s, table=0, n_packets=0, n_bytes=0, idle_age=18, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=1112 actions=output:2
 cookie=0x0, duration=18.072s, table=0, n_packets=0, n_bytes=0, idle_age=18, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=1864 actions=output:2
 cookie=0x0, duration=18.073s, table=0, n_packets=0, n_bytes=0, idle_age=18, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=1187 actions=output:2
